U04;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
9003001;Head of State;サー・レジナルド・ドーマン＝スミス;36;ML;Stern Imperialist;high;M563001;x
9003002;Head of Government;ヒューバート・エルヴィン・ランス;36;ML;Naive Optimist;high;M563002;x
9003003;Foreign Minister;サー・アーチボルド・コクラン;36;ML;General Staffer;high;M563003;x
9003004;Minister of Armament;ロバート・フィッツヘンドリクス;36;ML;Military Entrepreneur;high;M563004;x
9003005;Minister of Security;ジョン・コリンズ;36;ML;Crime Fighter;high;M563005;x
9003006;Head of Military Intelligence;ラルフ・ボトムリー卿;36;ML;Dismal Enigma;high;M563006;x
9003007;Chief of Staff;サー・アーチボルド・コクラン;36;ML;School of Defence;high;M563003;x
9003008;Chief of Army;ドナルド・クラークソン;36;ML;Static Defence Doctrine;high;M563008;x
9003009;Chief of Navy;ヒューバート・スコット＝ペイン;36;ML;Power Projection Doctrine;high;M563009;x
9003010;Chief of Air Force;P・C・モルトビー;36;ML;Army Aviation Doctrine;high;M563010;x
9003011;Head of State;タキン・バイ・テイ・ティン;36;ST;Ruthless Powermonger;high;M563011;x
9003012;Head of State;サオ・シュウェ・タイケ;36;SD;Die-hard Reformer;high;M563012;x
9003013;Head of State;H・M・サオ・ヤン・ウェン・ピン;36;PA;Pig-headed Isolationist;high;M563013;x
9003014;Head of State;バ・オー;36;FA;Insignificant Layman;high;M563014;x
9003015;Head of Government;タキン・ソエ・ブー;36;ST;Old Admiral;high;M563015;x
9003016;Head of Government;アウン・サン;36;SD;Old General;high;M563016;x
9003017;Head of Government;H・R・H・サオ・エドワード・ヤン・ケイン・ツァイ;36;PA;Political Protege;high;M563017;x
9003018;Head of Government;バ・マウ;36;FA;Flamboyant Tough Guy;high;M563018;x
9003019;Foreign Minister;タイク・トゥン;36;ST;Ideological Crusader;high;M563019;x
9003020;Foreign Minister;ウ・タント;36;SD;Great Compromiser;high;M563020;x
9003021;Foreign Minister;タキン・ヌー;36;PA;Apologetic Clerk;high;M563021;x
9003022;Foreign Minister;ガロン・ソー・オー;36;FA;The Cloak N Dagger Schemer;high;M563022;x
9003023;Minister of Armament;タキン・バ・タウン;36;ST;Submarine Proponent;high;M563023;x
9003024;Minister of Armament;アウン・ジイ;36;SD;laissez-faire capitalist;high;M563024;x
9003025;Minister of Armament;ジェームズ・フランクリン;36;PA;Administrative Genius;high;M563025;x
9003026;Minister of Armament;バ・キン;36;FA;Air to Ground Proponent;high;M563026;x
9003027;Minister of Security;A・N・ゴーサル;36;ST;Man of the People;high;M563027;x
9003028;Minister of Security;ウィン・マウン;36;SD;Back Stabber;high;M563028;x
9003029;Minister of Security;セイン・ルウィン;36;PA;Silent Lawyer;high;M563029;x
9003030;Minister of Security;ネ・ウィン;36;FA;Compassionate Gentleman;high;L101130;x
9003031;Head of Military Intelligence;ヘム・チャンドラ・マズマダル;36;ST;Industrial Specialist;high;M563031;x
9003032;Head of Military Intelligence;フラ・ミャイン;36;SD;Logistics Specialist;high;M563032;x
9003033;Head of Military Intelligence;セシル・クロウチ・フォード;36;PA;Political Specialist;high;M563033;x
9003034;Head of Military Intelligence;金子豊治;36;FA;Technical Specialist;high;M563034;x
9003035;Chief of Staff;ネ・ウィン;36;ST;School of Manoeuvre;high;L101130;x
9003036;Chief of Staff;スミス・ダン;36;SD;School of Psychology;high;M563036;x
9003037;Chief of Staff;メイソン・フィッツジェラルド;41;ML;School of Fire Support;high;M563037;x
9003038;Chief of Staff;ボ・ミャ;36;PA;School of Mass Combat;high;M563038;x
9003039;Chief of Staff;クン・サ;36;FA;School of Manoeuvre;high;M563039;x
9003040;Chief of Army;マウン・キン;36;ST;Decisive Battle Doctrine;high;M563040;x
9003041;Chief of Army;アウン・サン;36;SD;Guns and Butter Doctrine;high;M563016;x
9003042;Chief of Army;ウィリアム・メリック;43;ML;Armoured Spearhead Doctrine;high;M563042;x
9003043;Chief of Army;ガロン・ソー・オー;36;PA;Elastic Defence Doctrine;high;M563022;x
9003044;Chief of Army;ネ・ウィン;36;FA;Decisive Battle Doctrine;high;L101130;x
9003045;Chief of Navy;タキン・ソエ・ブー;36;ST;Indirect Approach Doctrine;high;M563015;x
9003046;Chief of Navy;キン・マウン・スウェ;36;SD;Base Control Doctrine;high;M563046;x
9003047;Chief of Navy;クロード・ポイグデストル;36;PA;Decisive Naval Battle Doctrine;high;M563047;x
9003048;Chief of Navy;フサヤ・マウン・タウ・カ;36;FA;Open Seas Doctrine;high;M563048;x
9003049;Chief of Air Force;タイク・トゥン;36;ST;Vertical Envelopment Doctrine;high;M563019;x
9003050;Chief of Air Force;ナウ・セン;36;SD;Naval Aviation Doctrine;high;M563050;x
9003051;Chief of Air Force;アイク・ルク;36;PA;Air Superiority Doctrine;high;M563051;x
9003052;Chief of Air Force;ティン・トゥン;36;FA;Carpet Bombing Doctrine;high;M563052;x
9003053;Head of State;バ・オー;52;LWR;Stern Imperialist;high;M563014;x
9003054;Head of Government;ウー・ヌ;48;SD;Smiling Oilman;high;M563054;x
9003055;Head of State;ヴィクター・ロード・リンリスゴー;36;ML;Stern Imperialist;high;M59001;x
9003056;Head of Government;ジョン・エドワード・ゴライトリー;36;ML;Silent Workhorse;high;M59002;x
9003057;Foreign Minister;サー・ジレンドラ・ヴァヤフラサタール;36;ML;Iron Fisted Brute;high;M59003;x
