ALG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
530001;Head of State;ウアリ・ブーメディエン;70;LWR;Resigned Generalissimo;High;M530001;x
530002;Head of Government;ウアリ・ブーメディエン;70;LWR;Flamboyant Tough Guy;High;M530001;x
530003;Foreign Minister;アブデルアジズ・ブーテフリカ;70;LWR;Ideological Crusader;High;M530003;x
530004;Minister of Armament;ベライド・アブデッサラーム;70;LWR;Resource Industrialist;High;M530004;x
530005;Minister of Security;アフメド・メデグリ;70;LWR;Crime Fighter;High;M530005;x
530006;Head of Military Intelligence;カスディ・メルバフ;70;LWR;Dismal Enigma;High;M530006;x
530007;Chief of Staff;モステファ・ベローチフ;70;LWR;School of Fire Support;High;M530007;x
530008;Chief of Army;モステファ・ベローチフ;70;LWR;Decisive Battle Doctrine;High;M530007;x
530009;Chief of Navy;マレク・ネチブ;70;LWR;Indirect Approach Doctrine;High;M530009;x
530010;Chief of Air Force;アブデルカデル・ルーネス;70;LWR;Air Superiority Doctrine;High;M530010;x
