ANG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
568001;Head of State;アゴスティニョ・ネト;70;LE;Die-hard Reformer;High;M568001;x
568002;Head of Government;ロポ・ド・ナシメント;70;LE;Silent Workhorse;High;M568002;x
568003;Foreign Minister;ジョゼ・エドゥアルド・ドス・サントス;70;LE;Ideological Crusader;High;M568003;x
568004;Minister of Armament;サイディ・ヴィエラ・ディアス・ミンガス;70;LE;Military Entrepreneur;High;M568004;x
568005;Minister of Security;ニト・アルヴェス;70;LE;Prince of Terror;High;M568005;x
568006;Head of Military Intelligence;フェルナンド・フェレイラ・メロ;70;LE;Dismal Enigma;High;M568006;x
568007;Chief of Staff;エンリケ・カレイラ;70;LE;School of Psychology;High;M568007;x
568008;Chief of Army;エンリケ・カレイラ;70;LE;School of Mass Combat;High;M568007;x
568009;Chief of Navy;アゴスティニョ・ネト;70;LE;Base Control Doctrine;High;M568001;x
568010;Chief of Air Force;ペドロ・デ・モライス・ネト;70;LE;Air Superiority Doctrine;High;M568010;x
