BEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
533001;Head of State;マチュー・ケレク;70;LE;Ruthless Powermonger;High;M533001;x
533002;Head of Government;マチュー・ケレク;70;LE;Flamboyant Tough Guy;High;M533001;x
533003;Foreign Minister;ミシェル・アラダイェ;70;LE;Iron Fisted Brute;High;M533003;x
533004;Minister of Armament;ポール＝エミール・ド・ソウサ;70;LE;Military Entrepreneur;High;M533004;x
533005;Minister of Security;ミシェル・アイクペ;70;LE;Crime Fighter;High;M533005;x
533006;Head of Military Intelligence;ブワノ・シンゾガ;70;LE;Technical Specialist;High;M533006;x
533007;Chief of Staff;ジャン＝バティスト・ハシェム;70;LE;School of Defence;High;M533007;x
533008;Chief of Army;レオポルド・アフエヤ;70;LE;Decisive Battle Doctrine;High;M533008;x
533009;Chief of Navy;デニス・グベッセメーラ;70;LE;Indirect Approach Doctrine;High;M533009;x
533010;Chief of Air Force;フェルナン・マルセル・アムス;70;LE;Vertical Envelopment Doctrine;High;M533010;x
