BHU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
74001;Head of State;ジグミ・シンゲ・ワンチュク;70;PA;Die-hard Reformer;High;M74001;x
74002;Head of Government;ジグミ・シンゲ・ワンチュク;70;PA;Silent Workhorse;High;M74001;x
74003;Foreign Minister;リョンポ・ダワ・ツェリン;70;PA;Biased Intellectual;High;M74003;x
74004;Minister of Armament;ジグミ・シンゲ・ワンチュク;70;PA;Resource Industrialist;High;M74001;x
74005;Minister of Security;ジグミ・シンゲ・ワンチュク;70;PA;Man of the People;High;M74001;x
74006;Head of Military Intelligence;リョンポ・ダワ・ツェリン;70;PA;Political Specialist;High;M74003;x
74007;Chief of Staff;ラム・ドルジ;70;PA;School of Fire Support;High;M74007;x
74008;Chief of Army;バトゥー・ツェリン;70;PA;Guns and Butter Doctrine;High;M74008;x
74009;Chief of Navy;バトゥー・ツェリン;70;PA;Base Control Doctrine;High;M74008;x
74010;Chief of Air Force;バトゥー・ツェリン;70;PA;Army Aviation Doctrine;High;M74008;x
