BOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
43001;Head of State;ウゴ・バンセル・スアレス;70;FA;Powerhungry Demagogue;High;M43001;x
43002;Head of Government;ウゴ・バンセル・スアレス;70;FA;Old General;High;M43001;x
43003;Foreign Minister;ウアスカル・タボルガ・トリコ;70;FA;Iron Fisted Brute;High;M43003;x
43004;Minister of Armament;ルイス・ベドレガル・ロド;70;FA;laissez-faire capitalist;High;M43004;x
43005;Minister of Security;マリオ・アデット・ザモラ;70;FA;Prince of Terror;High;M43005;x
43006;Head of Military Intelligence;ギリェルモ・フォルトゥン・スアレス;70;FA;Political Specialist;High;M43006;x
43007;Chief of Staff;ハイメ・フロレンティノ・メンディエタ;70;FA;School of Fire Support;High;M43007;x
43008;Chief of Army;陸軍司令官;70;FA;Decisive Battle Doctrine;High;M43008;x
43009;Chief of Navy;海軍司令官;70;FA;Indirect Approach Doctrine;High;M43009;x
43010;Chief of Air Force;空軍司令官;70;FA;Army Aviation Doctrine;High;M43010;x
