BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
34001;Head of State;エミリオ・ガラスタズ・メディシ;70;PA;Resigned Generalissimo;High;M34001;x
34002;Head of Government;アウグスト・ラデマーカー;70;PA;Old Admiral;High;M34002;x
34003;Foreign Minister;マリオ・ギブソン・バルボーサ;70;PA;Ideological Crusader;High;M34003;x
34004;Minister of Armament;ジョゼ・フラヴィオ・ペコラ;70;PA;Economist Minister;High;M34004;x
34005;Minister of Security;ジョゼ・コスタ・カヴァルカンティ;70;PA;Compassionate Gentleman;High;M34005;x
34006;Head of Military Intelligence;カルロス・アルベルト・ダ・フォントゥラ;70;PA;Logistics Specialist;High;M34006;x
34007;Chief of Staff;アルトゥール・ドゥアルテ・カンダル・フォンセカ;70;PA;School of Defence;High;M34007;x
34008;Chief of Army;オルランド・ゲイセル;70;PA;Static Defence Doctrine;High;M34008;x
34009;Chief of Navy;アダルベルト・デ・バロス・ヌネス;70;PA;Open Seas Doctrine;High;M34009;x
34010;Chief of Air Force;ジョエルミル・カンポス・デ・アラリペ・マケド;70;PA;Air Quartermaster;High;M34010;x
