CHC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
51001;Head of State;毛澤東 (マオ・ツォートン);70;ST;Powerhungry Demagogue;High;M51001;x
51002;Head of Government;周恩來 (ヂョウ・オンライ);70;ST;Silent Workhorse;High;M51002;x
51003;Foreign Minister;姫鵬飛 (ジー・ポンフェイ);70;ST;Ideological Crusader;High;M51003;x
51004;Minister of Armament;殷承禎 (イン・チェンゼン);70;ST;Military Entrepreneur;High;M51004;x
51005;Minister of Security;李震 (リ・ゼン);70;ST;Crime Fighter;High;M51005;x
51006;Head of Military Intelligence;張挺 (ジャン・ティン);70;ST;Logistics Specialist;High;M51006;x
51007;Chief of Staff;毛澤東 (マオ・ツォートン);70;ST;School of Mass Combat;High;M51001;x
51008;Chief of Army;毛澤東 (マオ・ツォートン);70;ST;Decisive Battle Doctrine;High;M51001;x
51009;Chief of Navy;蕭勁光 (シャオ・ジンガン);70;ST;Open Seas Doctrine;High;M51009;x
51010;Chief of Air Force;呉法憲 (ウー・ファシアン);70;ST;Army Aviation Doctrine;High;M51010;x
