CHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
52001;Head of State;蒋介石 (チャン・カイシェク);70;PA;Resigned Generalissimo;High;M52001;x
52002;Head of Government;蒋経国 (チャン・チングォ);70;PA;Silent Workhorse;High;M52002;x
52003;Foreign Minister;沈昌煥 (シェン・チャンファン);70;PA;Great Compromiser;High;M52003;x
52004;Minister of Armament;李国鼎 (リ・クオティン);70;PA;Resource Industrialist;High;M52004;x
52005;Minister of Security;林金生 (リン・ジンシェン);70;PA;Compassionate Gentleman;High;M52005;x
52006;Head of Military Intelligence;王永樹 (ワン・ヨンシュ);70;PA;Logistics Specialist;High;M52006;x
52007;Chief of Staff;頼名湯 (ライ・ミンシャン);70;PA;School of Fire Support;High;M52007;x
52008;Chief of Army;于豪章 (ユ・ハオザン);70;PA;Guns and Butter Doctrine;High;M52008;x
52009;Chief of Navy;宋長志 (ソン・チャンジ);70;PA;Open Seas Doctrine;High;M52009;x
52010;Chief of Air Force;陳衣凡 (チェン・イファン);70;PA;Air Superiority Doctrine;High;M52010;x
