CHL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
44001;Head of State;サルバドール・アジェンデ;70;SD;Die-hard Reformer;High;M44001;x
44002;Head of Government;サルバドール・アジェンデ;70;SD;Flamboyant Tough Guy;High;M44001;x
44003;Foreign Minister;クロドミロ・アルメイダ;70;SD;Iron Fisted Brute;High;M44003;x
44004;Minister of Armament;ラウル・モンテロ・コルネホ;70;SD;Battle Fleet Proponent;High;M44004;x
44005;Minister of Security;カルロス・プラッツ;70;SD;Efficient Sociopath;High;M44005;x
44006;Head of Military Intelligence;ホセ・マリア・セプルヴェダ;70;SD;Dismal Enigma;High;M44006;x
44007;Chief of Staff;ホセ・トア;70;SD;School of Defence;High;M44007;x
44008;Chief of Army;カルロス・プラッツ;70;SD;Guns and Butter Doctrine;High;M44005;x
44009;Chief of Navy;ラウル・モンテロ・コルネホ;70;SD;Open Seas Doctrine;High;M44004;x
44010;Chief of Air Force;チェーザル・ルイス・ダニャウ;70;SD;Air Superiority Doctrine;High;M44010;x
