CON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
574001;Head of State;モブツ・セセ・セコ;70;PA;Ruthless Powermonger;High;M574001;x
574002;Head of Government;モブツ・セセ・セコ;70;PA;Old General;High;M574001;x
574003;Foreign Minister;ジャン・ングザ・カール＝イ＝ボンド;70;PA;Biased Intellectual;High;M574003;x
574004;Minister of Armament;ジュール・フォンテーヌ・サンブワ;70;PA;Former Banker;High;M574004;x
574005;Minister of Security;マルク・マヘレ・リエコ・ボクング;70;PA;Crime Fighter;High;M574005;x
574006;Head of Military Intelligence;ヴィクトル・ネンダカ・ビカ;70;PA;Political Specialist;High;M574006;x
574007;Chief of Staff;モブツ・セセ・セコ;70;PA;School of Psychology;High;M574001;x
574008;Chief of Army;マルク・マヘレ・リエコ・ボクング;70;PA;Elastic Defence Doctrine;High;M574005;x
574009;Chief of Navy;ディエウドーネ・アムリ・バヒグワ;70;PA;Open Seas Doctrine;High;M574009;x
574010;Chief of Air Force;リゴベール・マサンバ・ムスング;70;PA;Army Aviation Doctrine;High;M574010;x
