CYP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
560001;Head of State;マカリオス3世;70;SC;Pig-headed Isolationist;High;M550001;x
560002;Head of Government;ファーズル・キュチュク;70;SC;Ideological Prime;High;M560002;x
560003;Foreign Minister;イオアニス・クリストフィディス;70;SC;Great Compromiser;High;M560003;x
560004;Minister of Armament;アンドレアス・パツァリディス;70;SC;laissez-faire capitalist;High;M560004;x
560005;Minister of Security;ゲオルギオス・イオアニディス;70;SC;Silent Lawyer;High;M560005;x
560006;Head of Military Intelligence;ステラ・スリオティ;70;SC;Judiciary Specialist;High;M560006;x
560007;Chief of Staff;イオルゴス・イオアニディス;70;SC;School of Mass Combat;High;M560007;x
560008;Chief of Army;パヴロス・クルピス;70;SC;Elastic Defence Doctrine;High;M560008;x
560009;Chief of Navy;エレフテリオス・ツォマキス;70;SC;Open Seas Doctrine;High;M560009;x
560010;Chief of Air Force;航空隊司令官;70;SC;Air Superiority Doctrine;High;M560010;x
