ENG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
1001;Head of State;エリザベス2世;70;SC;Popular Figurehead;High;M1001;x
1002;Head of Government;サー・エドワード・ヒース;70;SC;Flamboyant Tough Guy;High;M1002;x
1003;Foreign Minister;ヒューム伯アレック・ダグラス＝ヒューム;70;SC;Great Compromiser;High;M1003;x
1004;Minister of Armament;バーバー男爵アンソニー・バーバー;70;SC;Resource Industrialist;High;M1004;x
1005;Minister of Security;カー・オブ・ハードリー男爵ロバート・カー;70;SC;Man of the People;High;M1005;x
1006;Head of Military Intelligence;サー・ジョン・レニー;70;SC;Political Specialist;High;M1006;x
1007;Chief of Staff;ヒル＝ノートン男爵ペーター・ヒル＝ノートン;70;SC;School of Fire Support;High;M1007;x
1008;Chief of Army;カーヴァー男爵マイケル・カーヴァー;70;SC;Armoured Spearhead Doctrine;High;M1008;x
1009;Chief of Navy;サー・マイケル・ポロック;70;SC;Decisive Naval Battle Doctrine;High;M1009;x
1010;Chief of Air Force;サー・デニス・スポーツウッド;70;SC;Carpet Bombing Doctrine;High;M1010;x
1011;Head of State;エリザベス2世;70;SD;Popular Figurehead;High;M1001;x
