GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
18001;Head of State;コンスタンティノス2世;70;PA;Autocratic Charmer;High;M18001;x
18002;Head of Government;ゲオルギオス・パパドプロス;70;PA;Old General;High;M18002;x
18003;Foreign Minister;ゲオルギオス・パパドプロス;70;PA;General Staffer;High;M18002;x
18004;Minister of Armament;イオアンニス・コウリス;70;PA;Economist Minister;High;M18004;x
18005;Minister of Security;スティリアノス・パッタコス;70;PA;Crime Fighter;High;M18005;x
18006;Head of Military Intelligence;ミハリス・ロウフォガリス;70;PA;Logistics Specialist;High;M18005;x
18007;Chief of Staff;オデッセアス・アンゲリス;70;PA;School of Psychology;High;M18007;x
18008;Chief of Army;オデッセアス・アンゲリス;70;PA;Guns and Butter Doctrine;High;M18007;x
18009;Chief of Navy;K・マルガリティス;70;PA;Open Seas Doctrine;High;M18009;x
18010;Chief of Air Force;トマス・ミツァナス;70;PA;Air Superiority Doctrine;High;M18010;x
18011;Head of State;ゲオルギオス・パパドプロス;70;PA;Resigned Generalissimo;High;M18002;x
18012;Head of State;フェドン・キジキス;73;PA;Insignificant Layman;High;M18012;x
18013;Head of State;ミハイル・スタシノプロス;74;ML;Benevolent Gentleman;High;M18013;x
18014;Head of State;コンスタンディノス・ツァツォス;75;ML;Pig-headed Isolationist;High;M18014;x
18015;Head of State;コンスタンディノス・カラマンリス;80;ML;Die-hard Reformer;High;M18015;x
18016;Head of State;イオアンニス・アレヴラス;85;SD;Acting Head;High;M18016;x
18017;Head of State;フリストス・サルゼタキス;85;SD;Die-hard Reformer;High;M18017;x
18018;Head of State;コンスタンディノス・ステファノプロス;95;ML;Popular Figurehead;High;M18018;x
18019;Head of State;カロロス・パプーリアス;2005;SD;Benevolent Gentleman;High;M18019;x
18020;Head of State;パナギオティス・カネロプロス;75;SD;Benevolent Gentleman;High;M18020;x
18021;Head of State;ゲオルギオス・ミロナス;80;SD;Popular Figurehead;High;M18021;x
18022;Head of State;アタナシオス・ツァルダリス;95;ML;Insignificant Layman;High;M18022;x
18023;Head of State;レオニダス・キルコス;2000;LWR;Barking Buffoon;High;M18023;x
18024;Head of State;ニコラオス・ミハロリアコス;80;NS;Stern Imperialist;High;M18024;x
18025;Head of State;ハリラオス・フロラキス;72;ST;Die-hard Reformer;High;M18025;x
18026;Head of State;アレカ・パパリガ;91;ST;Barking Buffoon;High;M18026;x
18027;Head of State;ディミトリス・コウツゥンパス;2013;ST;Weary Stiffneck;High;M18027;x
18028;Head of State;パウロス2世;2010;PA;Popular Figurehead;High;M18028;x
