GUY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
562001;Head of State;アーサー・チュン;70;SL;Popular Figurehead;High;M562001;x
562002;Head of Government;フォーブス・バーナム;70;SL;Ambitious Union Boss;High;M562002;x
562003;Foreign Minister;サー・シリダト・ラムファル;70;SL;Great Compromiser;High;M562003;x
562004;Minister of Armament;デズモンド・ホイト;70;SL;Resource Industrialist;High;M562004;x
562005;Minister of Security;フェントン・ラムサホイェ;70;SL;Compassionate Gentleman;High;M562005;x
562006;Head of Military Intelligence;ロバート・コービン;70;SL;Political Specialist;High;M562006;x
562007;Chief of Staff;デヴィッド・A・グレンジャー;70;SL;School of Defence;High;M562007;x
562008;Chief of Army;デヴィッド・A・グレンジャー;70;SL;Armoured Spearhead Doctrine;High;M562007;x
562009;Chief of Navy;海軍司令官;70;SL;Open Seas Doctrine;High;M562009;x
562010;Chief of Air Force;空軍司令官;70;SL;Air Superiority Doctrine;High;M562010;x
562011;Foreign Minister;フレデリック・ウィルズ;75;SL;Ideological Crusader;High;M562011;x
