HAI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
78001;Head of State;ジャン＝クロード・デュヴァリエ;36;SC;Autocratic Charmer;High;M78001;x
78002;Head of Government;ジャン＝クロード・デュヴァリエ;36;SC;Happy Amateur;High;M78001;x
78003;Foreign Minister;アドリアン・レイモン;36;SC;Apologetic Clerk;High;M78003;x
78004;Minister of Armament;ジャン＝クロード・デュヴァリエ;36;SC;Resource Industrialist;High;M78001;x
78005;Minister of Security;ロジャー・ラフォンタン;36;SC;Efficient Sociopath;High;M78005;x
78006;Head of Military Intelligence;ジャン・ラミー;36;SC;Political Specialist;High;M78006;x
78007;Chief of Staff;クロード・レイモン;36;SC;School of Fire Support;High;M78007;x
78008;Chief of Army;クロード・レイモン;36;SC;Static Defence Doctrine;High;M78008;x
78009;Chief of Navy;海軍司令官;36;SC;Open Seas Doctrine;High;M78009;x
78010;Chief of Air Force;空軍司令官;36;SC;Army Aviation Doctrine;High;M78010;x
