ICL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
581001;Head of State;クリスチャン・エルジャン;70;ML;Benevolent Gentleman;High;M581001;x
581002;Head of Government;オーラヴル・ヨハンソン;70;ML;Silent Workhorse;High;M581002;x
581003;Foreign Minister;エイナル・アグストソン;70;ML;Apologetic Clerk;High;M581003;x
581004;Minister of Armament;ハルドール・E・シグレソン;70;ML;laissez-faire capitalist;High;M581004;x
581005;Minister of Security;オーラヴル・ヨハンソン;70;ML;Crime Fighter;High;M581002;x
581006;Head of Military Intelligence;アルノール・スグルヨンソン;70;ML;Logistics Specialist;High;M581006;x
581007;Chief of Staff;グエムンドゥル・クイェールネステッド;70;ML;School of Defence;High;M581007;x
581008;Chief of Army;ヘルガ・ハルヴァルリェソン;70;ML;Guns and Butter Doctrine;High;M581008;x
581009;Chief of Navy;ヘルガ・ハルヴァルリェソン;70;ML;Open Seas Doctrine;High;M581008;x
581010;Chief of Air Force;ヘルガ・ハルヴァルリェソン;70;ML;Naval Aviation Doctrine;High;M581008;x
