IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
25001;Head of State;エイモン・デ・ヴァレラ;70;ML;Pig-headed Isolationist;Medium;M25001;x
25002;Head of Government;ジャック・リンチ;70;ML;Negative Prime;High;M25002;x
25003;Foreign Minister;ブライアン・レニハン;70;ML;Ideological Crusader;High;M25003;x
25004;Minister of Armament;ジョージ・コリー;70;ML;Administrative Genius;High;M25004;x
25005;Minister of Security;デズモンド・オマリー;70;ML;Crime Fighter;High;M25005;x
25006;Head of Military Intelligence;ジェリー・クロニン;36;ML;Industrial Specialist;High;M25006;x
25007;Chief of Staff;トーマス・オカロル;70;ML;School of Defence;High;M25007;x
25008;Chief of Army;トーマス・オカロル;70;ML;Elastic Defence Doctrine;High;M25007;x
25009;Chief of Navy;ペーター・カバナー;70;ML;Open Seas Doctrine;High;M25009;x
25010;Chief of Air Force;ポール・フライ;70;ML;Air Superiority Doctrine;High;M25010;x
25011;Head of State;アースキン・チルダース;70;ML;Popular Gentleman;High;M25011;x
25012;Head of State;トーマス・オイギンス;70;SC;Benevolent Gentleman;High;M25012;x
25013;Head of State;カハル・オドーリー;74;SC;Die-hard Reformer;High;M25013;x
25014;Head of State;パトリック・ヒラリー;74;ML;Pig-headed Isolationist;High;M25014;x
25015;Head of State;メアリー・ロビンソン;90;SD;Die-hard Reformer;High;M25015;x
25016;Head of State;オースティン・カリー;90;SC;Weary Stiffneck;High;M25016;x
25017;Head of State;ブライアン・レニハン;90;ML;Stern Imperialist;High;M25003;x
25018;Head of State;メアリー・マッカリース;97;ML;Insignificant Layman;High;M25018;x
25019;Head of State;メアリー・バノッティ;97;SC;Insignificant Layman;High;M25019;x
25020;Head of State;ダナ・ローズマリー・スカロン;97;SD;Insignificant Layman;High;M25020;x
25021;Head of State;マイケル・ヒギンズ;99;SD;Die-hard Reformer;High;M25021;x
25022;Head of State;ショーン・ギャラガー;99;ML;Popular Figurehead;High;M25022;x
25023;Head of State;マーティン・マクギネス;99;SL;Stern Imperialist;High;M25023;x
25024;Head of State;マイケル・オリオーダン;70;LE;Die-hard Reformer;High;M25024;x
25025;Head of State;ジェイムズ・ステュワート;80;LE;Barking Buffoon;High;M25025;x
25026;Head of State;ユージン・マッカータン;99;LE;Pig-headed Isolationist;High;M25026;x
25027;Head of State;オリヴァー・J・フラナガン;70;PA;Die-hard Reformer;High;M25027;x
25028;Head of State;チャールズ・フラナガン;87;PA;Die-hard Reformer;High;M25028;x
25029;Head of Government;リーアム・コスグレイヴ;70;SC;Flamboyant Tough Guy;High;M25029;x
25030;Head of Government;ブレンダン・コリシュ;70;SD;Naive Optimist;High;M25030;x
25031;Head of Government;チャールズ・ホーヒー;79;ML;Naive Optimist;High;M25031;x
25032;Head of Government;ギャレット・フィッツジェラルド;81;SC;Happy Amateur;High;M25032;x
25033;Head of Government;フランク・クルスキー;81;SD;Ambitious Union Boss;High;M25033;x
25034;Head of Government;マイケル・オレアリー;82;SD;Scientist Prime;High;M25034;x
25035;Head of Government;ディック・スプリング;82;SD;Silent Workhorse;High;M25035;x
25036;Head of Government;デズモンド・オマリー;87;ML;Ideological Prime;High;M25005;x
25037;Head of Government;アラン・デュークス;89;SC;Industrial Prime;High;M25037;x
25038;Head of Government;アルバート・レイノルズ;92;ML;Flamboyant Tough Guy;High;M25038;x
25039;Head of Government;ジョン・ブルートン;92;SC;Ideological Prime;High;M25039;x
25040;Head of Government;バーティ・アハーン;97;ML;Builder Bridges;High;M25040;x
25041;Head of Government;マイケル・ヌーナン;99;SC;Silent Workhorse;High;M25041;x
25042;Head of Government;ルアイリ・クイン;99;SD;Flamboyant Tough Guy;High;M25042;x
25043;Head of Government;エンダ・ケニー;99;SC;Industrial Prime;High;M25043;x
25044;Head of Government;パット・ラッディット;99;SD;Scientist Prime;High;M25044;x
25045;Head of Government;ブライアン・カウエン;99;ML;Naive Optimist;High;M25045;x
25046;Head of Government;ミヒェール・マーティン;99;SC;Silent Workhorse;High;M25046;x
25047;Head of Government;イーモン・ギルモア;99;SD;Flamboyant Tough Guy;High;M25047;x
25048;Head of Government;ベティ・シンクレア;70;LE;Ambitious Union Boss;High;M25048;x
25049;Head of Government;アンディ・バー;70;LE;Ambitious Union Boss;High;M25049;x
25050;Head of Government;マイケル・オリオーダン;83;LE;Flamboyant Tough Guy;High;M25024;x
25051;Head of Government;ユージン・マッカータン;89;LE;Silent Workhorse;High;M25026;x
25052;Head of Government;ジェイムズ・ステュワート;99;LE;Happy Amateur;High;M25025;x
25053;Head of Government;リンダ・ウォーカー;99;LE;Political Protege;High;M25053;x
25054;Head of Government;ゲアロイド・オクネアガーン;70;FA;Naive Optimist;High;M25054;x
25055;Head of Government;チャールズ・フラナガン;90;PA;Silent Workhorse;High;M25028;x
25056;Foreign Minister;ギャレット・フィッツジェラルド;70;SC;Great Compromiser;High;M25032;x
25057;Foreign Minister;マイケル・オケネディ;70;ML;Biased Intellectual;High;M25057;x
25058;Foreign Minister;ジョン・モーリス・ケリー;81;SC;Great Compromiser;High;M25058;x
25059;Foreign Minister;ジェームズ・ドゥージ;81;SC;Ideological Crusader;High;M25059;x
25060;Foreign Minister;ジェリー・コリンズ;81;ML;Ideological Crusader;High;M25060;x
25061;Foreign Minister;ペーター・バリー;82;SC;Apologetic Clerk;High;M25061;x
25062;Foreign Minister;デヴィッド・アンドリューズ;92;ML;Biased Intellectual;High;M25062;x
25063;Foreign Minister;ディック・スプリング;70;SD;Great Compromiser;High;M25035;x
25064;Foreign Minister;アルバート・レイノルズ;92;ML;Ideological Crusader;High;M25038;x
25065;Foreign Minister;レイ・バーク;94;ML;The Cloak N Dagger Schemer;High;M25065;x
25066;Foreign Minister;ブライアン・カウエン;99;ML;Biased Intellectual;High;M25045;x
25067;Foreign Minister;ダーモット・アハーン;99;ML;Ideological Crusader;High;M25067;x
25068;Foreign Minister;ミヒェール・マーティン;99;SC;Great Compromiser;High;M25046;x
25069;Foreign Minister;イーモン・ギルモア;99;SD;The Cloak N Dagger Schemer;High;M25047;x
25070;Foreign Minister;オリヴァー・J・フラナガン;70;PA;Biased Intellectual;High;M25040;x
25071;Foreign Minister;フェイ・テイラー;70;FA;Iron Fisted Brute;High;M25071;x
25072;Foreign Minister;ブレンダン・コリシュ;70;SD;Biased Intellectual;High;M25030;x
25073;Foreign Minister;デニス・ラーキン;70;LE;Iron Fisted Brute;High;M25073;x
25074;Foreign Minister;ユージン・マッカータン;70;LE;Ideological Crusader;High;M25026;x
25075;Minister of Armament;リッチー・ライアン;70;SC;laissez-faire capitalist;High;M25075;x
25076;Minister of Armament;マイケル・オケネディ;79;ML;Resource Industrialist;High;M25057;x
25077;Minister of Armament;ユージン・フィッツジェラルド;80;ML;Air to Ground Proponent;High;M25077;x
25078;Minister of Armament;ジョン・ブルートン;80;SC;Resource Industrialist;High;M25039;x
25079;Minister of Armament;レイ・マクシャリー;80;ML;laissez-faire capitalist;High;M25079;x
