ITA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
3001;Head of State;ジョヴァンニ・レオーネ;70;ML;Barking Buffoon;High;M3001;x
3002;Head of Government;ジュリオ・アンドレオッティ;70;ML;Backroom Backstabber;High;M3002;x
3003;Foreign Minister;ジュゼッペ・メディチ;70;ML;Great Compromiser;High;M3003;x
3004;Minister of Armament;アトス・ヴァルセッチ;70;ML;Resource Industrialist;High;M3004;x
3005;Minister of Security;マリアーノ・ルモール;70;ML;Crime Fighter;High;M3005;x
3006;Head of Military Intelligence;シーロ・ロセッティ;70;ML;Dismal Enigma;High;M3006;x
3007;Chief of Staff;エウジェニオ・ヘンケ;70;ML;School of Fire Support;High;M3007;x
3008;Chief of Army;フランチェスコ・メレウ;70;ML;Guns and Butter Doctrine;High;M3008;x
3009;Chief of Navy;ジュゼッペ・ロセッリ・ロレンツィーニ;70;ML;Open Seas Doctrine;High;M3009;x
3010;Chief of Air Force;ヴィンチェンツォ・ルチェルティーニ;70;ML;Air Superiority Doctrine;High;M3010;x
