JOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
556001;Head of State;フセイン1世;70;SC;Benevolent Gentleman;High;M556001;x
556002;Head of Government;アフマド・アル＝ラウジ;70;SC;Scientist Prime;High;M556002;x
556003;Foreign Minister;サラー・アドゥ・ザイド;70;SC;Apologetic Clerk;High;M556003;x
556004;Minister of Armament;ムハンマド・サイード・ナブルシ;70;SC;Former Banker;High;M556004;x
556005;Minister of Security;バフジャト・タツフーニ;70;SC;Silent Lawyer;High;M556005;x
556006;Head of Military Intelligence;アフマド・オベイダト;70;SC;Industrial Specialist;High;M556006;x
556007;Chief of Staff;ハビス・アル＝マジャリ;70;SC;School of Psychology;High;M556007;x
556008;Chief of Army;ハビス・アル＝マジャリ;70;SC;Guns and Butter Doctrine;High;M556007;x
556009;Chief of Navy;フセイン1世;70;SC;Decisive Naval Battle Doctrine;High;M556001;x
556010;Chief of Air Force;マンスール・アル＝ジョブル;70;SC;Army Aviation Doctrine;High;M556010;x
