LAO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
540001;Head of State;サワーンワッタナー;70;SL;Pig-headed Isolationist;High;M540001;x
540002;Head of Government;スワンナ・プーマ;70;SL;Naive Optimist;High;M540002;x
540003;Foreign Minister;スワンナ・プーマ;70;SL;Great Compromiser;High;M540002;x
540004;Minister of Armament;シスク・ナ・チャムパッサク;70;SL;Resource Industrialist;High;M540004;x
540005;Minister of Security;ペン・ポンサワン;70;SL;Compassionate Gentleman;High;M540005;x
540006;Head of Military Intelligence;プー・サナニコーン;70;SL;Political Specialist;High;M540006;x
540007;Chief of Staff;ブンポン・マルテパラック;70;SL;School of Psychology;High;M540007;x
540008;Chief of Army;クプラシット・アバイ;70;SL;Elastic Defence Doctrine;High;M540008;x
540009;Chief of Navy;サワーンワッタナー;70;SL;Decisive Naval Battle Doctrine;High;M540001;x
540010;Chief of Air Force;スーリット・ドン・サソリット;70;SL;Air Superiority Doctrine;High;M540010;x
