MON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
94001;Head of State;ソノミン・ルフサン;70;LE;Popular Figurehead;High;M94001;x
94002;Head of Government;ユムジャーギィン・ツェデンバル;70;LE;Flamboyant Tough Guy;High;M94002;x
94003;Foreign Minister;マンガリン・ドゥゲルスレン;70;LE;Great Compromiser;High;M94002;x
94004;Minister of Armament;ドゥマーギーン・ソドノム;70;LE;Resource Industrialist;High;M94004;x
94005;Minister of Security;シャラビン・ゴンガードルジ;70;LE;Man of the People;High;M94005;x
94006;Head of Military Intelligence;ユムジャーギィン・ツェデンバル;70;LE;Political Specialist;High;M94006;x
94007;Chief of Staff;ブトチン・ツォグ;70;LE;School of Manoeuvre;High;M94007;x
94008;Chief of Army;ブトチン・ツォグ;70;LE;Armoured Spearhead Doctrine;High;M94007;x
94009;Chief of Navy;ブトチン・ツォグ;70;LE;Base Control Doctrine;High;M94009;x
94010;Chief of Air Force;ジェクテルデミット・グラグチャ;70;LE;Air Superiority Doctrine;High;M94010;x
94011;Head of State;ユムジャーギィン・ツェデンバル;74;LE;Resigned Generalissimo;High;M94002;x
94012;Head of State;ニャミン・ジャグバラル;84;LE;Acting Head;High;M94012;x
94013;Head of State;ジャムビィン・バトムンフ;84;LE;Autocratic Charmer;High;M94013;x
94014;Head of State;ポンサルマーギーン・オチルバト;90;SD;Benevolent Gentleman;High;M94014;x
94015;Head of State;ポンサルマーギーン・オチルバト;93;ML;Benevolent Gentleman;High;M94014;x
94016;Head of State;ナツァギーン・バガバンディ;97;SD;Die-hard Reformer;High;M94016;x
94017;Head of State;ナンバリーン・エンフバヤル;99;SD;Benevolent Gentleman;High;M94017;x
94018;Head of State;ツァヒアギーン・エルベグドルジ;99;ML;Die-hard Reformer;High;M94018;x
94019;Head of State;ロドンギン・ツデフ;93;SD;Pig-headed Isolationist;High;M94019;x
94020;Head of State;ラドナースンベレリン・ゴンチグドルジ;99;ML;Popular Figurehead;High;M94020;x
94021;Head of State;メンダサイハン・エンフサイハン;99;ML;Popular Gentleman;High;M94021;x
94022;Head of State;バドマーニャンブーギイン・バトエルデネ;99;SD;Weary Stiffneck;High;M94022;x
94023;Head of Government;ジャムビィン・バトムンフ;74;LE;Flamboyant Tough Guy;High;M94013;x
94024;Head of Government;ドゥマーギーン・ソドノム;84;LE;Silent Workhorse;High;M94004;x
94025;Head of Government;シャラビン・ゴンガードルジ;90;SD;Naive Optimist;High;M94005;x
94026;Head of Government;ダジン・ビャンバスレン;90;SD;Silent Workhorse;High;M94026;x
94027;Head of Government;ポンツァギーン・ジャスライ;92;SD;Industrial Prime;High;M94027;x
94028;Head of Government;メンダサイハン・エンフサイハン;96;ML;Ambitious Union Boss;High;M94021;x
94029;Head of Government;ツァヒアギーン・エルベグドルジ;98;ML;Flamboyant Tough Guy;High;M94018;x
94030;Head of Government;ジャンラブ・ナランツァツラルト;98;ML;Scientist Prime;High;M94030;x
94031;Head of Government;ニャムオソリン・トゥヤ;99;ML;Silent Workhorse;High;M94031;x
94032;Head of Government;リンチンニャミン・アマルジャルガル;99;ML;Industrial Prime;High;M94032;x
94033;Head of Government;ナンバリーン・エンフバヤル;99;SD;Naive Optimist;High;M94017;x
94034;Head of Government;ミェーゴンボ・エンフボルド;99;SD;Silent Workhorse;High;M94034;x
94035;Head of Government;サンジャーギーン・バヤル;99;SD;Silent Workhorse;High;M94035;x
94036;Head of Government;スフバータル・バトボルド;99;SD;Industrial Prime;High;M94036;x
94037;Head of Government;ノロブ・アルタンホヤグ;99;ML;Ambitious Union Boss;High;M94037;x
