NIG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
552001;Head of State;ヤクブ・ゴウォン;70;PA;Resigned Generalissimo;High;M552001;x
552002;Head of Government;ジョセフ・エデット・アキンワレ・ウェイ;70;PA;Old Admiral;High;M552002;x
552003;Foreign Minister;オコイ・アリクポ;70;PA;Biased Intellectual;High;M552003;x
552004;Minister of Armament;ボラ・イゲ;70;PA;Resource Industrialist;High;M552004;x
552005;Minister of Security;アルハジ・ケム・サレム;70;PA;Crime Fighter;High;M552005;x
552006;Head of Military Intelligence;アルハジ・ケム・サレム;70;PA;Judiciary Specialist;High;M552006;x
552007;Chief of Staff;ヤクブ・ゴウォン;70;PA;School of Fire Support;High;M552001;x
552008;Chief of Army;デヴィッド・エジョール;70;PA;Elastic Defence Doctrine;High;M552008;x
552009;Chief of Navy;ジョセフ・エデット・アキンワレ・ウェイ;70;PA;Power Projection Doctrine;High;M552002;x
552010;Chief of Air Force;エマヌエル・E・イクウエ;70;PA;Army Aviation Doctrine;High;M552010;x
