NZL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
55001;Head of State;サー・デニス・ブルンデル;70;SD;Resigned Generalissimo;High;M55001;x
55002;Head of Government;ノーマン・カーク;70;SD;Flamboyant Tough Guy;High;M55002;x
55003;Foreign Minister;ノーマン・カーク;70;SD;Ideological Crusader;High;M55002;x
55004;Minister of Armament;サー・ウォレス・ローリング;70;SD;Economist Minister;High;M55004;x
55005;Minister of Security;アラン・フィンレー;70;SD;Compassionate Gentleman;High;M55005;x
55006;Head of Military Intelligence;ウィリアム・ギルバート;70;SD;Dismal Enigma;High;M55006;x
55007;Chief of Staff;サー・レナード・ソーントン;70;SD;School of Fire Support;High;M55007;x
55008;Chief of Army;L・A・ピアース;70;SD;Elastic Defence Doctrine;High;M55008;x
55009;Chief of Navy;サー・ニール・アンダーソン;70;SD;Power Projection Doctrine;High;M55009;x
55010;Chief of Air Force;サー・ダグラス・F・セントジョージ;70;SD;Air Superiority Doctrine;High;M55010;x
