OMN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
92001;Head of State;カーブース・ビン＝サイード;70;SC;Stern Imperialist;High;M92001;x
92002;Head of Government;カーブース・ビン＝サイード;70;SC;Flamboyant Tough Guy;High;M92001;x
92003;Foreign Minister;カイス・ビン・アブドゥル・ムニム・アル・ザワウィ;70;SC;The Cloak N Dagger Schemer;High;M92003;x
92004;Minister of Armament;モハンマド・アル・ルムヒ;70;SC;Resource Industrialist;High;M92004;x
92005;Minister of Security;内務大臣;70;SC;Crime Fighter;High;M92005;x
92006;Head of Military Intelligence;ファハド・ビン・マフムード・アル・サイード;70;SC;Political Specialist;High;M92006;x
92007;Chief of Staff;サイード・バドル・ビン・サウード・アル・ブサイディ;70;SC;School of Defence;High;M92007;x
92008;Chief of Army;陸軍司令官;70;SC;Static Defence Doctrine;High;M92008;x
92009;Chief of Navy;海軍司令官;70;SC;Open Seas Doctrine;High;M92009;x
92010;Chief of Air Force;マタール・ビン・アリー・アル・オバイダニ;70;SC;Air Superiority Doctrine;High;M92010;x
