PRK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
579001;Head of State;金日成（キム・イルソン）;70;ST;Powerhungry Demagogue;High;M579001;x
579002;Head of Government;金一（キム・イル）;70;ST;Ideological Prime;High;M579002;x
579003;Foreign Minister;許淡（ホ・ダム）;70;ST;Biased Intellectual;High;M579003;x
579004;Minister of Armament;崔賢（チェ・ヒョン）;70;ST;Military Entrepreneur;High;M579004;x
579005;Minister of Security;白鶴林（ペク・ハクリム）;70;ST;Prince of Terror;High;M579005;x
579006;Head of Military Intelligence;金炳夏（キム・ビョンハ）;70;ST;Dismal Enigma;High;M57006;x
579007;Chief of Staff;呉振宇（オ・ジンウ）;70;ST;School of Mass Combat;High;M579007;x
579008;Chief of Army;金日成（キム・イルソン）;70;ST;Decisive Battle Doctrine;High;M579001;x
579009;Chief of Navy;金鎰チョル（キム・イルチョル）;70;ST;Open Seas Doctrine;High;M579009;x
579010;Chief of Air Force;趙明禄（チョ・ミョンロク）;70;ST;Army Aviation Doctrine;High;M579010;x
