ROM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
22001;Head of State;ニコラエ・チャウシェスク;70;ST;Autocratic Charmer;High;M22001;x
22002;Head of Government;イオン・ゲオルゲ・マウレル;70;ST;Ambitious Union Boss;High;M22002;x
22003;Foreign Minister;ゲオルゲ・マコヴェスク;70;ST;Apologetic Clerk;High;M22003;x
22004;Minister of Armament;フロレア・ドゥミトレスク;70;ST;Former Banker;High;M22004;x
22005;Minister of Security;イオン・スタネスク;70;ST;Crime Fighter;High;M22005;x
22006;Head of Military Intelligence;ニコラエ・ドイカル;70;ST;Dismal Enigma;High;M22006;x
22007;Chief of Staff;ゲオルゲ・イオン;70;ST;School of Mass Combat;High;M22007;x
22008;Chief of Army;イオアン・イオニタ;70;ST;Static Defence Doctrine;High;M22008;x
22009;Chief of Navy;グリゴレ・マルテシュ;70;ST;Decisive Naval Battle Doctrine;High;M22009;x
22010;Chief of Air Force;アウレル・ニクレスク;70;ST;Air Superiority Doctrine;High;M22010;x
