SPA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
10001;Head of State;フランシスコ・フランコ・イ・バアモンデ;70;PA;Stern Imperialist;High;M10001;x
10002;Head of Government;フランシスコ・フランコ・イ・バアモンデ;70;PA;Silent Workhorse;High;M10001;x
10003;Foreign Minister;グレゴリオ・ロペス＝ブラヴォ;70;PA;Great Compromiser;High;M10003;x
10004;Minister of Armament;アルベルト・モンレアル・ルケ;70;PA;Economist Minister;High;M10004;x
10005;Minister of Security;トマス・ガリカーノ・ゴニ;70;PA;Crime Fighter;High;M10005;x
10006;Head of Military Intelligence;ホセ・イグナシオ・サン・マルティン;70;PA;Logistics Specialist;High;M10006;x
10007;Chief of Staff;フランシスコ・フランコ・イ・バアモンデ;70;PA;School of Psychology;High;M10001;x
10008;Chief of Army;フアン・カスタノン・デ・メナ;70;PA;Guns and Butter Doctrine;High;M10008;x
10009;Chief of Navy;アドルフォ・バトゥローネ・コロンボ;70;PA;Power Projection Doctrine;High;M10009;x
10010;Chief of Air Force;フリオ・サルヴァドール・イ・ディアス＝ベンジュメア;70;PA;Air Superiority Doctrine;High;M10010;x
