URU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
41001;Head of State;フアン・マリーア・ボルダベリー;70;SL;Autocratic Charmer;High;M41001;x
41002;Head of Government;ホルヘ・サペリ;70;SL;Naive Optimist;High;M41002;x
41003;Foreign Minister;フアン・カルロス・ブランコ・エストラーデ;70;SL;Iron Fisted Brute;High;M41003;x
41004;Minister of Armament;モイセス・コエン・ベーリョ;70;SL;Military Entrepreneur;High;M41004;x
41005;Minister of Security;ウォツター・ラヴェンナ;70;SL;Prince of Terror;High;M41005;x
41006;Head of Military Intelligence;アンヘル・セルヴェッティ;70;SL;Logistics Specialist;High;M41006;x
41007;Chief of Staff;アルマンド・マレット;70;SL;School of Fire Support;High;M41007;x
41008;Chief of Army;陸軍総司令官;70;SL;Static Defence Doctrine;High;M41008;x
41009;Chief of Navy;海軍総司令官;70;SL;Decisive Naval Battle Doctrine;High;M41009;x
41010;Chief of Air Force;空軍総司令官;36;SC;Air Superiority Doctrine;High;M41010;x
