VEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
38001;Head of State;ラファエル・カルデラ・ロドリゲス;70;SC;Die-hard Reformer;High;M38001;x
38002;Head of Government;ラファエル・カルデラ・ロドリゲス;70;SC;Silent Workhorse;High;M38001;x
38003;Foreign Minister;アリスティデス・カルヴァーニ;70;SC;Great Compromiser;High;M38003;x
38004;Minister of Armament;ルイス・エンリケ・オベルト;70;SC;laissez-faire capitalist;High;M38004;x
38005;Minister of Security;ナクタリオ・アンドラーデ・ラボルカ;70;SC;Silent Lawyer;High;M38005;x
38006;Head of Military Intelligence;ボリバル情報局;70;SC;Dismal Enigma;High;M38006;x
38007;Chief of Staff;グスタヴォ・パルディ・ダヴィラ;70;SC;School of Defence;High;M38007;x
38008;Chief of Army;アレクシス・ロペス・ラミレス;70;SC;Static Defence Doctrine;High;M38008;x
38009;Chief of Navy;アルマンド・ペレス・レーフマンス;70;SC;Open Seas Doctrine;High;M38009;x
38010;Chief of Air Force;ホルヘ・アレヴァロ・オロペサ・ペルナレテ;70;SC;Army Aviation Doctrine;High;M38010;x
