YUG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
20001;Head of State;ヨシップ・ブロズ・チトー;70;LWR;Die-hard Reformer;High;M20001;x
20002;Head of Government;ジェマル・ビイェディッチ;70;LWR;Silent Workhorse;High;M20002;x
20003;Foreign Minister;ミロシュ・ミニッチ;70;LWR;The Cloak N Dagger Schemer;High;M20003;x
20004;Minister of Armament;ヤンコ・スモレ;70;LWR;Former Banker;High;M20004;x
20005;Minister of Security;ムグビル・ベイザト;70;LWR;Compassionate Gentleman;High;M20005;x
20006;Head of Military Intelligence;ルカ・ボナヴィッチ;70;LWR;Political Specialist;High;M20006;x
20007;Chief of Staff;スタネ・ポトチャル;70;LWR;School of Mass Combat;High;M20007;x
20008;Chief of Army;ニコラ・リュビチッチ;70;LWR;Elastic Defence Doctrine;High;M20008;x
20009;Chief of Navy;ミオドラグ・ヤキッチ;70;LWR;Power Projection Doctrine;High;M20009;x
20010;Chief of Air Force;エンヴェル・チェマロヴィッチ;70;LWR;Air Superiority Doctrine;High;M20010;x
