CHL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5100;アグア・サンタ硝石鉄道;T5100;3;1930;2100;electronics;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5101;バルフォア・ウィリアムソン会社;T5101;3;1930;2100;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5102;C・J・ド・ラ・モット・デュ・ポルタイユ;T5109;3;1930;2100;centralized_execution;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5103;キャンベル・ウートラム・イ・シー会社;T5102;3;1930;2100;artillery;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5104;カラビネーロス・デ・チレ;T_CHL_CarabinerosdeChile;3;1930;2100;infantry_focus;centralized_execution;small_unit_tactics;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5105;カルロス・フェンテス・ラーベ;T5114;4;1938;2100;combined_arms_focus;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5106;チリ鉱物工業会社;T5103;4;1930;2100;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5107;チリ産業開発公社;T5104;4;1930;2100;electronics;general_equipment;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5108;ディエゴ・アラセナ;T5111;3;1938;2100;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5109;E・ノバア・フェンテス;T5113;3;1930;2100;centralized_execution;individual_courage;infantry_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5110;エンデサ社;T5105;2;1930;2100;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5111;陸軍兵学校;T5106;4;1930;2100;artillery;combined_arms_focus;general_equipment;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5112;フランシスコ・オライアン・オレゴ;T5110;4;1938;2100;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5113;マーマデューク・グローヴ;T5112;5;1937;2100;aircraft_testing;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5114;トランスアンディーン建設会社;T5107;4;1930;2100;electronics;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5115;チリ大学;T_CHL_UniversidaddeChile;4;1936;2100;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
