COL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5200;コロンビア産業協会;T5204;3;1944;2100;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5201;コロンビア鉄道会社;T5203;4;1930;2100;industrial_engineering;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5202;コロンビア空軍学校;T5208;2;1930;2100;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5203;FNC社;T5202;3;1930;2100;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5204;グスタボ・ロハス・ピニラ;T5205;3;1944;2100;small_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5205;産業開発公社;T5200;3;1930;2100;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5206;コロンビア海軍;T5207;2;1930;2100;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5207;コロンビア陸軍;T5206;2;1930;2100;large_unit_tactics;decentralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5208;SCADTA社;T5201;2;1930;2100;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5209;ユナイテッド・フルーツ社;T5209;2;1930;2100;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5210;国立コロンビア大学;T5210;2;1930;2100;mathematics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5211;ウルダネタ・ガルベス;T_COL_UrdanetayGalvez;3;1950;2100;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
