PRU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2600;チョリヨス陸軍士官学校;T2604;4;1930;2100;decentralized_execution;individual_courage;infantry_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2601;ペルー協同会社;T2602;4;1930;2100;general_equipment;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2602;エル・カヤオ社;T2600;4;1930;2100;industrial_engineering;mechanics;naval_engineering;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2603;FNA社;T2601;3;1930;2100;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2604;フェルナンド・M・ケサダ・ブランコ;T2609;4;1941;2100;aircraft_testing;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2605;ルイス・ナバレッテ;T2607;4;1942;2100;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2606;海軍参謀大学;T2606;5;1930;2100;centralized_execution;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2607;パウル・デ・ベアウディエス;T2608;5;1930;2100;aircraft_testing;fighter_tactics;general_equipment;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2608;ペドロ・パウレット;T_PRU_Pedro_Paulet;5;1930;2100;aeronautics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2609;ラモン・カスティリョ;T2605;3;1930;2100;centralized_execution;combined_arms_focus;individual_courage;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2610;ピコス運輸会社;T2603;4;1930;2100;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2611;国立工科大学;T_PRU_UniversidadNacionaldeIngenieria;3;1930;2100;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
