SAF;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3000;ACAD社;T3000;4;1930;2100;aeronautics;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3001;アドルフ・マラン;T3005;6;1941;2100;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3002;アームスコー社;T_SAF_ARMSCOR;5;1948;2100;artillery;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3003;南アフリカ電力公社;T_SAF_ESCOM;5;1948;2100;chemistry;electronics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3004;ISCOR社;T_SAF_ISCOR;5;1930;2100;chemistry;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3005;ヤン・スマッツ;T3006;6;1930;2100;centralized_execution;combined_arms_focus;individual_courage;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3006;マーモン・ヘリントン社;T108;5;1930;2100;artillery;chemistry;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3007;ピエール・オリヴィエ=ノール;T3007;5;1930;2100;centralized_execution;large_taskforce_tactics;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3008;ピエール・ファン・ライネフェルト;T3008;4;1930;2100;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3009;サイモンズ・タウン造船所;T_SAF_SimonsTownDockyard;4;1930;2100;electronics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3010;南アフリカ鉄道会社;T3004;6;1930;2100;industrial_engineering;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3011;ウィットウォータースランド大学;T_SAF_UniversityWitwatersrand;4;1930;2100;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3012;ヴィッカース・アームストロング社;T3003;5;1930;2100;aeronautics;artillery;mechanics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3013;デ・ハヴィランド社;T3001;5;1930;2100;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
