VEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5500;カラカス兵器廠;T9800;4;1930;2100;artillery;electronics;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5501;デルガド・シャボー;T5503;3;1930;2100;aircraft_testing;bomber_tactics;centralized_execution;combined_arms_focus;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5502;ベネズエラ海軍学校;T5505;2;1930;2100;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5503;空軍学校;T5504;2;1930;2100;aircraft_testing;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5504;国鉄自治機関;T5502;4;1930;2100;electronics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5505;イザイアス・メディナ・アンガリータ;T5506;4;1930;2100;centralized_execution;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5506;JFPN社;T5500;5;1930;2100;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5507;ベネズエラ中央大学 ;T_VEN_UniversidadCentraldeVenezuela;3;1930;2100;chemistry;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5508;ヴェネズエラ航空社;T_VEN_Venezuelan_Aircraft_Company;4;1930;2100;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5509;ベネズエラ石油会社;T5501;6;1930;2100;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
